# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.912609
# Diagonal elements of inverse mass matrix:
# 0.525702
-7.16335,0.903673,0.912609,1,3,0,7.27161,0.373559
-7.12483,1,0.912609,1,1,0,7.25292,0.367345
-9.7234,0.616174,0.912609,2,7,0,9.7241,0.596799
-6.81315,1,0.912609,1,3,0,9.82133,0.206792
-6.84529,0.993199,0.912609,1,1,0,6.85282,0.197745
-9.82338,0.506219,0.912609,1,3,0,11.3445,0.0431969
-8.59165,1,0.912609,1,1,0,9.73157,0.0711967
-9.46344,0.935249,0.912609,1,1,0,9.48715,0.049712
-9.28822,1,0.912609,1,1,0,9.68612,0.0533041
-9.85707,0.9661,0.912609,1,1,0,9.96704,0.04264
-10.5737,0.988678,0.912609,2,3,0,10.67,0.0325384
-10.5258,1,0.912609,1,1,0,10.9208,0.0331219
-11.0577,0.979608,0.912609,1,1,0,11.2258,0.0272404
-11.1165,0.997976,0.912609,1,1,0,11.4807,0.0266641
-10.2231,1,0.912609,1,1,0,11.1485,0.0370941
-7.08663,0.936133,0.912609,2,7,0,9.57826,0.360885
-6.75217,1,0.912609,2,3,0,7.09951,0.238727
-7.92101,0.738399,0.912609,1,3,0,8.43504,0.0968295
-8.73536,0.973381,0.912609,2,3,0,8.74253,0.0669425
-7.15466,0.953704,0.912609,1,3,0,8.69764,0.149933
-6.95722,1,0.912609,1,1,0,7.12531,0.175488
-6.75756,0.805875,0.912609,2,3,0,9.10484,0.23301
-6.81234,0.829944,0.912609,2,3,0,8.03749,0.207051
-8.05087,0.750876,0.912609,1,3,0,8.53926,0.476687
-8.05087,0.433065,0.912609,1,1,0,9.9439,0.476687
-9.64728,0.594214,0.912609,1,1,0,9.86073,0.592361
-8.26662,1,0.912609,1,1,0,9.49323,0.495701
-6.77001,1,0.912609,1,3,0,7.94325,0.276803
-6.81442,0.9882,0.912609,1,1,0,6.81508,0.297283
-7.42016,0.792032,0.912609,1,3,0,8.05869,0.12647
-7.34007,1,0.912609,1,1,0,7.49098,0.132721
-6.76208,0.967513,0.912609,1,3,0,7.55489,0.271338
-6.90879,0.979718,0.912609,2,3,0,6.91081,0.183949
-8.16358,0.861713,0.912609,2,3,0,8.36864,0.0862387
-6.89926,0.984365,0.912609,2,7,0,7.86351,0.322548
-6.98092,0.976535,0.912609,1,1,0,7.00864,0.341003
-6.88502,0.890758,0.912609,2,3,0,7.59525,0.318892
-6.84953,0.957114,0.912609,1,3,0,7.14449,0.196685
-7.07386,0.957511,0.912609,2,3,0,7.25961,0.159143
-7.07386,0.941304,0.912609,1,1,0,7.385,0.159143
-7.13093,0.99018,0.912609,1,1,0,7.17922,0.152503
-6.75949,0.998862,0.912609,1,3,0,7.12214,0.231394
-6.7487,0.980385,0.912609,2,3,0,6.88624,0.254608
-6.89367,0.792432,0.912609,2,3,0,8.16046,0.186898
-7.42821,0.925137,0.912609,1,3,0,7.4511,0.125873
-8.03195,0.923795,0.912609,1,1,0,8.03624,0.0917605
-8.15365,0.995695,0.912609,2,3,0,8.3067,0.0866384
-8.55806,0.795405,0.912609,1,3,0,11.9567,0.519271
-6.75886,1,0.912609,1,3,0,8.21056,0.2687
-6.94534,0.941806,0.912609,1,3,0,7.07886,0.177445
-6.83992,0.962126,0.912609,2,7,0,7.20792,0.305957
-6.8176,1,0.912609,1,1,0,6.8479,0.298441
-7.13369,0.731028,0.912609,2,3,0,8.54649,0.152198
-8.035,0.886043,0.912609,1,3,0,8.0644,0.0916263
-6.75507,0.973313,0.912609,1,3,0,8.27614,0.235358
-6.76588,0.995049,0.912609,1,3,0,6.78861,0.274105
-6.80235,0.99037,0.912609,1,1,0,6.80284,0.292631
-7.63959,0.687488,0.912609,2,3,0,8.76746,0.435442
-6.76008,0.993706,0.912609,1,3,0,7.67136,0.230929
-6.74923,0.969023,0.912609,2,3,0,6.9758,0.256187
-6.75339,0.989094,0.912609,2,3,0,6.8138,0.237204
-6.74807,0.999946,0.912609,2,3,0,6.75372,0.248742
-6.98717,0.943666,0.912609,1,3,0,7.03742,0.342282
-7.06496,0.97705,0.912609,1,1,0,7.11835,0.357072
-6.79241,1,0.912609,2,3,0,7.0103,0.214045
-6.88155,0.981075,0.912609,1,1,0,6.88159,0.189392
-6.90772,0.994788,0.912609,1,1,0,6.92962,0.184152
-6.77229,0.998435,0.912609,1,3,0,6.88319,0.223161
-6.82284,0.988804,0.912609,1,1,0,6.82289,0.203844
-7.15824,0.906934,0.912609,1,3,0,7.46649,0.372751
-8.25757,0.70471,0.912609,1,1,0,8.28101,0.494932
-7.20793,1,0.912609,1,1,0,7.95735,0.38043
-7.54154,0.900238,0.912609,1,1,0,7.62809,0.42431
-7.34457,1,0.912609,1,1,0,7.62412,0.399769
-6.80187,0.961156,0.912609,1,3,0,7.55401,0.210549
-7.14917,0.942694,0.912609,1,3,0,7.17405,0.150518
-6.90935,1,0.912609,1,1,0,7.10491,0.183844
-6.82118,0.979747,0.912609,1,3,0,7.11969,0.299716
-6.75095,0.995537,0.912609,2,3,0,6.85025,0.259653
-7.11436,0.815649,0.912609,2,3,0,7.85238,0.154359
-7.01843,0.854863,0.912609,2,3,0,8.66581,0.166353
-7.09835,0.995291,0.912609,2,3,0,7.13189,0.156207
-7.26896,0.97205,0.912609,1,1,0,7.2959,0.138805
-7.15956,1,0.912609,2,3,0,7.29968,0.149415
-7.03631,1,0.912609,1,1,0,7.16527,0.163933
-6.79074,0.994111,0.912609,2,3,0,7.09615,0.214702
-6.95957,0.973969,0.912609,1,3,0,6.96319,0.17511
-8.15341,0.846113,0.912609,1,3,0,8.31512,0.0866479
-6.9241,0.976539,0.912609,1,3,0,8.1297,0.181129
-7.19744,0.950997,0.912609,1,1,0,7.19764,0.145545
-6.89072,0.955033,0.912609,1,3,0,7.68325,0.320376
-7.60254,0.72802,0.912609,1,3,0,8.61275,0.114092
-7.64598,0.998102,0.912609,2,3,0,7.77613,0.111452
-8.31085,0.924918,0.912609,1,1,0,8.31947,0.0806081
-7.1542,0.843911,0.912609,1,3,0,10.0418,0.372108
-7.1542,0.70304,0.912609,1,1,0,7.93142,0.372108
-7.22983,0.976923,0.912609,1,1,0,7.33393,0.383693
-6.76721,1,0.912609,1,3,0,7.12683,0.275003
-6.79499,0.957017,0.912609,2,3,0,7.03141,0.213052
-7.46002,0.926448,0.912609,2,3,0,7.56379,0.414545
-7.46002,0.497933,0.912609,1,1,0,8.94633,0.414545
-6.75209,1,0.912609,1,3,0,7.34983,0.261387
