# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.971545
# Diagonal elements of inverse mass matrix:
# 0.554672
-6.75013,0.991122,0.971545,2,3,0,6.84274,0.258184
-6.81434,0.9696,0.971545,2,3,0,6.90365,0.297252
-6.7735,1,0.971545,1,1,0,6.80455,0.278901
-6.82172,0.994872,0.971545,2,3,0,6.82456,0.299903
-6.80646,0.951359,0.971545,2,3,0,7.06398,0.208974
-8.08788,0.765642,0.971545,1,3,0,8.31326,0.0893531
-9.0908,0.89483,0.971545,1,1,0,9.10773,0.0577373
-6.84447,0.810093,0.971545,1,3,0,9.93777,0.307377
-7.43229,0.786097,0.971545,2,3,0,8.02222,0.125573
-7.20425,1,0.971545,2,3,0,7.43875,0.144872
-7.82174,0.943906,0.971545,2,3,0,7.82467,0.454661
-7.01202,1,0.971545,1,1,0,7.55615,0.347219
-7.01202,0.548402,0.971545,1,3,0,9.51171,0.347219
-7.01202,0.250997,0.971545,1,1,0,9.26637,0.347219
-7.06033,0.895585,0.971545,2,3,0,7.58426,0.160826
-6.83054,1,0.971545,1,1,0,7.00545,0.201649
-7.92357,0.838888,0.971545,2,3,0,8.21558,0.0967077
-6.74874,0.934817,0.971545,1,3,0,8.00303,0.254764
-6.82681,0.968278,0.971545,2,3,0,6.91491,0.301662
-7.31357,0.843971,0.971545,1,1,0,7.31524,0.395578
-8.99892,0.758353,0.971545,2,3,0,9.09467,0.551292
-9.05507,0.992813,0.971545,2,3,0,9.90432,0.555106
-7.70536,1,0.971545,1,1,0,8.7723,0.442584
-7.36801,1,0.971545,1,1,0,7.76292,0.40287
-7.65356,0.607769,0.971545,1,3,0,9.14668,0.111002
-6.76024,1,0.971545,2,3,0,7.47437,0.269873
-6.92441,0.949006,0.971545,1,3,0,7.00883,0.181072
-7.21264,0.972992,0.971545,2,3,0,7.21751,0.381138
-7.21264,0.767109,0.971545,1,1,0,7.74911,0.381138
-7.35368,0.94864,0.971545,1,1,0,7.49963,0.40098
-7.10848,1,0.971545,1,1,0,7.36083,0.364618
-7.02179,1,0.971545,2,3,0,7.15892,0.349102
-6.85777,1,0.971545,2,3,0,6.97454,0.194695
-6.9912,0.989649,0.971545,2,3,0,6.99833,0.170241
-7.01089,0.995669,0.971545,1,1,0,7.06556,0.167404
-7.10792,0.979554,0.971545,1,1,0,7.14888,0.155096
-6.74984,0.936037,0.971545,2,3,0,7.5858,0.257596
-6.97507,0.885966,0.971545,2,3,0,7.3237,0.339793
-6.79429,1,0.971545,1,1,0,6.91677,0.289246
-6.78308,0.947862,0.971545,2,3,0,7.04476,0.217915
-6.83741,0.985913,0.971545,1,1,0,6.83961,0.199786
-6.7507,0.962988,0.971545,2,3,0,7.11887,0.240927
-6.75311,0.946522,0.971545,2,3,0,7.02863,0.262745
-7.04133,0.919548,0.971545,1,3,0,7.14526,0.163271
-6.75058,0.987485,0.971545,1,3,0,7.04439,0.259011
-6.77902,0.869038,0.971545,2,3,0,7.4117,0.219768
-6.81645,0.996721,0.971545,2,3,0,6.81937,0.205763
-6.92813,0.972768,0.971545,1,1,0,6.93109,0.18041
-7.80917,0.875352,0.971545,1,3,0,7.84501,0.102385
-7.93397,0.982607,0.971545,1,1,0,8.09773,0.0962157
-6.89882,1,0.971545,2,3,0,7.63762,0.322437
-7.24599,0.88377,0.971545,1,1,0,7.26711,0.386056
-6.82334,1,0.971545,2,3,0,7.1015,0.30047
-8.70572,0.61031,0.971545,1,3,0,8.71279,0.530436
-7.46808,1,0.971545,1,1,0,8.39094,0.415533
-6.78287,1,0.971545,1,3,0,7.23822,0.283924
-7.13907,0.913977,0.971545,1,3,0,7.1393,0.369675
-6.74938,0.921997,0.971545,2,3,0,7.50885,0.243514
-6.8223,0.980217,0.971545,1,3,0,6.83827,0.300106
-6.95528,0.955976,0.971545,1,1,0,6.96582,0.335585
-6.79811,0.80065,0.971545,2,3,0,7.77508,0.29088
