# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.987852
# Diagonal elements of inverse mass matrix:
# 0.460621
-6.74879,0.999074,0.987852,1,3,0,6.87612,0.245122
-7.05754,0.952176,0.987852,2,3,0,7.10357,0.161179
-6.764,0.980225,0.987852,1,3,0,7.17447,0.272773
-6.74962,0.999006,0.987852,1,3,0,6.77046,0.242983
-7.02272,0.933665,0.987852,1,3,0,7.09027,0.349279
-6.77819,0.979951,0.987852,1,3,0,7.12955,0.220167
-8.63139,0.566683,0.987852,2,3,0,10.1137,0.0699856
-6.75388,1,0.987852,2,3,0,8.23048,0.263691
-6.9378,0.946058,0.987852,1,3,0,7.0419,0.178724
-6.81046,0.953626,0.987852,2,3,0,7.34161,0.295802
-6.7921,1,0.987852,1,1,0,6.81379,0.288278
-7.31588,0.890818,0.987852,1,3,0,7.32443,0.395895
-7.34121,0.991853,0.987852,1,1,0,7.50902,0.399319
-6.80967,0.848697,0.987852,2,3,0,8.15777,0.295504
-6.76594,1,0.987852,1,1,0,6.79809,0.274148
-6.79149,0.993085,0.987852,1,1,0,6.79277,0.288004
-6.75241,0.997178,0.987852,1,3,0,6.80874,0.238416
-6.78357,0.993116,0.987852,2,3,0,6.80498,0.217696
-6.81625,0.992647,0.987852,1,1,0,6.81881,0.205825
-6.75074,0.940335,0.987852,2,3,0,7.29887,0.259287
-6.75857,0.997957,0.987852,1,1,0,6.75858,0.268445
-6.94116,0.960433,0.987852,1,3,0,6.94884,0.332472
-6.88497,0.883982,0.987852,2,3,0,7.56262,0.318879
-7.28924,0.809674,0.987852,2,7,0,7.96024,0.137013
-6.95633,1,0.987852,1,1,0,7.22853,0.175633
-7.09816,0.9737,0.987852,1,1,0,7.11225,0.156229
-7.10791,0.919712,0.987852,1,3,0,7.85932,0.364522
