# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.98132
# Diagonal elements of inverse mass matrix:
# 0.51542
-7.6564,0.841768,0.98132,2,3,0,11.0631,0.110834
-6.95804,0.986979,0.98132,1,3,0,7.53441,0.175357
-6.7658,0.910861,0.98132,2,3,0,7.87512,0.22694
-8.71238,0.606592,0.98132,1,3,0,9.44928,0.0676
-7.69218,1,0.98132,1,1,0,8.5847,0.108756
-7.69218,0.812078,0.98132,1,3,0,9.27673,0.108756
-6.90679,0.85542,0.98132,2,3,0,9.47277,0.18433
-7.25716,0.927714,0.98132,2,3,0,7.58578,0.139871
-7.09874,1,0.98132,1,1,0,7.26705,0.156161
-6.80695,0.98761,0.98132,2,3,0,7.21923,0.208809
-8.655,0.645556,0.98132,1,3,0,9.03595,0.526655
-8.6208,1,0.98132,1,1,0,9.30903,0.524074
-6.96202,0.94067,0.98132,1,3,0,9.00684,0.174717
-7.5792,0.950549,0.98132,2,3,0,7.61586,0.428659
-8.26692,0.775756,0.98132,1,1,0,8.48153,0.495727
-11.8311,0.279423,0.98132,1,1,0,12.0641,0.69708
-7.34207,1,0.98132,1,3,0,12.9632,0.132557
-7.01674,0.974966,0.98132,2,3,0,7.70584,0.166588
-7.08065,0.995707,0.98132,2,3,0,7.12602,0.158315
-6.80717,0.998287,0.98132,1,3,0,7.02139,0.208735
-6.75144,0.884184,0.98132,2,3,0,7.5602,0.239761
-6.76605,0.995201,0.98132,1,3,0,6.77792,0.274223
-6.85269,0.968849,0.98132,1,3,0,6.93036,0.195911
-7.0055,0.956563,0.98132,2,3,0,7.2451,0.168168
-6.7522,0.988316,0.98132,1,3,0,7.03127,0.261545
-7.10016,0.916652,0.98132,1,3,0,7.11972,0.36321
-7.10016,0.499487,0.98132,1,1,0,8.34138,0.36321
-7.30952,0.929362,0.98132,1,1,0,7.39818,0.395024
-6.75997,1,0.98132,1,3,0,7.15812,0.26965
-6.75553,0.985586,0.98132,2,3,0,6.83764,0.234899
-6.75553,0.9497,0.98132,1,3,0,6.95068,0.234899
-8.4123,0.74983,0.98132,2,3,0,8.52786,0.0770234
-8.25298,0.963108,0.98132,2,3,0,9.57959,0.0827574
-7.1521,0.970199,0.98132,1,3,0,8.09927,0.150205
-6.80501,1,0.98132,2,3,0,7.06091,0.293692
-7.62647,0.500551,0.98132,2,3,0,9.69942,0.433988
-7.72145,0.965769,0.98132,1,1,0,8.0117,0.444294
-7.67852,1,0.98132,2,3,0,8.02158,0.439699
-7.85639,0.936592,0.98132,1,1,0,8.15594,0.458132
-8.11201,0.909562,0.98132,1,1,0,8.46845,0.482229
-6.74972,1,0.98132,1,3,0,7.77853,0.25734
-6.95216,0.792614,0.98132,2,3,0,7.88412,0.176313
-6.81598,0.876054,0.98132,2,3,0,8.24881,0.205907
-6.87902,0.973372,0.98132,1,3,0,7.02691,0.317301
-6.84026,1,0.98132,1,1,0,6.88873,0.306065
-6.95889,0.962375,0.98132,1,1,0,6.97296,0.336368
-6.79955,0.980109,0.98132,1,3,0,7.07415,0.211374
-6.74823,0.905214,0.98132,2,3,0,7.39393,0.252558
-6.95837,0.962831,0.98132,2,3,0,7.00115,0.175303
-6.75165,1,0.98132,1,3,0,6.93294,0.239448
-6.75165,0.687436,0.98132,1,3,0,7.99188,0.239448
-7.21863,0.886013,0.98132,1,3,0,7.29849,0.382033
-7.10995,1,0.98132,1,1,0,7.28382,0.364866
-6.78627,0.984112,0.98132,1,3,0,7.18865,0.216534
-6.75074,1,0.98132,1,3,0,6.77824,0.240856
-6.98668,0.768405,0.98132,2,3,0,8.11561,0.170913
-6.87017,1,0.98132,2,3,0,6.9697,0.191856
-6.75123,0.938849,0.98132,2,3,0,7.39009,0.240078
-6.74938,0.999388,0.98132,2,3,0,6.75542,0.256557
-6.7538,0.999522,0.98132,2,3,0,6.75382,0.263595
-6.75056,0.99242,0.98132,2,3,0,6.79508,0.241172
-6.75339,0.985919,0.98132,2,3,0,6.8293,0.263094
-6.83645,0.986959,0.98132,2,3,0,6.84497,0.200043
-6.89403,0.986672,0.98132,1,1,0,6.9048,0.186825
-7.37114,0.960799,0.98132,2,3,0,7.40565,0.403281
-7.04525,0.871718,0.98132,1,3,0,8.02505,0.162759
-6.75395,0.892446,0.98132,2,3,0,7.88545,0.263768
-7.2967,0.908194,0.98132,2,3,0,7.34822,0.136366
-7.10574,1,0.98132,1,1,0,7.29586,0.155348
-7.4578,0.979329,0.98132,2,3,0,7.47036,0.123722
-6.75876,0.993331,0.98132,1,3,0,7.4265,0.231986
-6.80859,0.984333,0.98132,1,3,0,6.84575,0.29509
-7.13459,0.847499,0.98132,2,3,0,7.65475,0.152099
-7.30641,0.968847,0.98132,1,1,0,7.34925,0.135532
-7.13517,1,0.98132,1,1,0,7.31792,0.152036
-6.88199,1,0.98132,1,1,0,7.0814,0.189299
-6.79187,1,0.98132,1,1,0,6.86079,0.214258
-6.74809,0.999957,0.98132,1,3,0,6.78736,0.248561
-6.75076,0.999314,0.98132,2,3,0,6.75248,0.240821
-6.75587,0.99862,0.98132,1,1,0,6.756,0.234561
-8.41501,0.749788,0.98132,2,3,0,8.5313,0.0769308
-7.86252,1,0.98132,2,3,0,8.40175,0.099675
-7.68549,1,0.98132,1,1,0,7.95869,0.10914
-7.29162,1,0.98132,2,3,0,7.64775,0.136806
-7.16369,1,0.98132,1,1,0,7.32512,0.148981
-6.76374,0.902679,0.98132,2,3,0,8.48789,0.228287
-6.74824,0.981334,0.98132,2,3,0,6.88044,0.247412
-6.82505,0.98094,0.98132,1,3,0,6.83827,0.203203
-6.76794,0.926161,0.98132,2,3,0,7.41117,0.225621
